,,,BRISK,,,BRIEF,,,FREAK,,,SIFT,,,ORB,
Detector,Frame,ttcLidar,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera
,19,8.30978,62,18.6402,,60,13.275,,36,24.1855,,60,9.11279,,57,23.7299
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,BRISK,,,BRIEF,,,FREAK,,,SIFT,,,,
,,ttcLidar,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,,
SIFT,1,12.9722,100,13.5175,,111,11.9962,,96,12.1054,,94,11.7668,,,
,2,12.624,102,12.571,,116,12.6771,,103,12.597,,109,13.7536,,,
,3,13.9161,118,12.5526,,133,13.9338,,120,13.377,,118,12.6469,,,
,4,7.11572,111,22.5866,,124,21.7997,,109,19.6985,,114,19.0839,,,
,5,16.2511,104,18.4401,,116,14.1642,,104,13.5122,,103,14.7482,,,
,6,12.4213,116,9.13841,,124,11.063,,114,11.3015,,109,12.7727,,,
,7,34.3404,135,15.1266,,139,13.1317,,133,14.3032,,139,14.6615,,,
,8,9.34376,122,12.8906,,140,16.1715,,129,12.8591,,137,18.5753,,,
,9,18.1318,128,13.8628,,144,12.8467,,118,15.23,,129,14.6796,,,
,10,18.0318,108,10.2346,,124,10.0891,,109,10.6528,,100,11.0124,,,
,11,3.83244,101,10.9654,,110,12.0448,,96,11.8025,,102,11.3545,,,
,12,-10.8537,113,10.4175,,130,9.45054,,113,10.8573,,127,11.4202,,,
,13,9.22307,110,9.90544,,122,9.60417,,108,9.24521,,110,10.9039,,,
,14,10.9678,107,11.0518,,113,9.35336,,102,9.19013,,105,11.5133,,,
,15,8.09422,100,9.4872,,118,8.74224,,103,9.4644,,110,9.4872,,,
,16,3.17535,108,9.64474,,123,8.86657,,110,9.67128,,111,9.16296,,,
,17,-9.99424,91,8.90824,,97,8.61534,,83,8.67935,,91,8.79534,,,
,18,8.30978,102,8.30978,,111,9.41366,,100,9.17826,,101,8.91648,,,
