,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BRISK Descriptor,,,,,BRIEF Descriptor,,,,,FREAK Descriptor,,,,,SIFT Descritptor,,,,,ORB Descriptor,,,
,keypoints,keypoints of front vehicle,Time(ms),,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total
,2777,274,45.0841,,3.21658,168,1.90952,50.2102,,1.23953,174,1.77808,48.10171,,76.0283,154,8.71714,129.82954,,68.8751,177,3.38141,117.34061,,5.38156,155,1.87012,52.33578
,2741,277,45.4501,,3.25355,169,1.9253,50.62895,,1.22191,194,1.77419,48.4462,,67.3042,174,1.67533,114.42963,,75.1668,187,3.53968,124.15658,,5.49673,167,1.80416,52.75099
,2735,275,43.755,,3.17564,158,1.89399,48.82463,,1.16495,183,1.81048,46.73043,,69.1014,154,3.52597,116.38237,,72.4506,172,3.69981,119.90541,,5.4751,156,1.98868,51.21878
,2757,293,42.424,,3.4799,170,2.03327,47.93717,,1.3621,177,1.89574,45.68184,,67.0667,168,4.54961,114.04031,,77.0429,177,3.8836,123.3505,,5.6321,161,1.97428,50.03038
,2695,278,42.7043,,3.24266,173,2.06531,48.01227,,1.1621,183,1.94668,45.81308,,69.6637,160,1.67225,114.04025,,69.9287,169,3.85076,116.48376,,5.12038,158,1.95989,49.78457
,2715,289,43.2862,,3.36312,186,1.98894,48.63826,,1.22506,194,1.88885,46.40011,,79.6806,182,4.43366,127.40046,,76.9412,192,3.58502,123.81242,,5.44965,181,2.00269,50.73854
,2628,268,43.3461,,3.09748,174,1.91116,48.35474,,1.28185,208,1.83764,46.46559,,80.5612,169,1.70538,125.61268,,73.6429,193,3.70477,120.69377,,5.09833,165,1.91,50.35443
,2639,262,42.3538,,3.09625,170,1.74014,47.19019,,1.53046,186,1.67412,45.55838,,68.9751,175,4.29039,115.61929,,74.2549,175,3.43748,120.04618,,7.79711,171,2.22238,52.37329
,2672,252,43.4629,,3.00325,184,1.71223,48.17838,,1.15326,179,1.60774,46.2239,,69.3343,167,4.29885,117.09605,,70.3491,184,3.30741,117.11941,,5.43971,172,1.69313,50.59574
,27116,2722,446.984,,32.86215,1552,17.17986,497.02601,,13.47555,1678,16.21352,476.67307,,778.1645,1503,34.86858,1260.01708,,754.1957,1626,32.38994,1233.56964,,57.33038,1486,17.42533,521.73971
